"Date","Income","Deductions","Goal",,,,,
05/21/19,0,20,2000,,,,,
05/22/19,0,0,2000,,,,,
05/23/19,86,0,2000,,,,,
05/24/19,86,0,2000,,,,,
05/25/19,86,0,2000,,,,,
05/26/19,86,0,2000,,,,,
05/27/19,86,0,2000,,,,,
05/28/19,0,0,2000,,,,,
05/29/19,0,0,2000,,,,,
05/30/19,86,0,2000,,,,,
05/31/19,86,367,2000,,,,,
06/01/19,86,,2000,,,,,
06/02/19,86,,2000,,,,,
06/03/19,86,,2000,,,,,
06/04/19,0,,2000,,,,,
06/05/19,0,,2000,,,,,
06/06/19,86,,2000,,,,,
06/07/19,86,,2000,,,,,
06/08/19,86,,2000,,,,,
06/09/19,86,,2000,,,,,
06/10/19,86,,2000,,,,,
06/11/19,0,,2000,,,,,
06/12/19,0,,2000,,,,,
06/13/19,86,,2000,,,,,
06/14/19,86,,2000,,,,,
06/15/19,86,,2000,,,,,
06/16/19,86,,2000,,,,,
06/17/19,86,,2000,,,,,
06/18/19,0,,2000,,,,,
06/19/19,0,,2000,,,,,
06/20/19,86,,2000,,,,,
06/21/19,86,,2000,,,,,
06/22/19,86,,2000,,,,,
06/23/19,86,,2000,,,,,
06/24/19,86,,2000,,,,,
06/25/19,0,,2000,,,,,
06/26/19,0,,2000,,,,,
06/27/19,86,,2000,,,,,
06/28/19,86,,2000,,,,,
06/29/19,86,,2000,,,,,
06/30/19,86,,2000,,,,,
07/01/19,86,,2000,,,,,
07/02/19,0,,2000,,,,,
07/03/19,0,,2000,,,,,
,2580,,2000,,,,,13.125
